,Job title,Job link,city,Seniority level,Employment type,Job function,Industries
16,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-pomeroy-3384652177?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=N2jtG8t6NEQd7Kk12ShVaA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,"Marietta, GA",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
17,Applied Machine Learning Scientist,https://www.linkedin.com/jobs/view/applied-machine-learning-scientist-at-liminal-3391896406?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=6unprpEl5Q7GmKfDZMwhgw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,"Emeryville, CA",Not Applicable,Full-time,Engineering,"Technology, Information and Internet"
18,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-sr2-socially-responsible-recruitment-certified-b-corporation%E2%84%A2-3390174604?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=KbIeNauLUoGgq3Pnfj3Kdw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,"New York, United States",Mid-Senior level,Full-time,Engineering,Renewable Energy Semiconductor Manufacturing
19,"Data Scientist, Product Analytics",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-etsy-3393671104?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=P75E%2Fh451iAzGP%2FvhSDm4Q%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,"Brooklyn, NY",Associate,Full-time,Administrative,"Technology, Information and Internet"
20,Data Scientist I,https://www.linkedin.com/jobs/view/data-scientist-i-at-three-point-solutions-inc-3397719895?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=vdEm0tezoiq0a5ijxWVBDg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,"Waterloo, IA",Entry level,Contract,Engineering and Information Technology,Staffing and Recruiting
21,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-eimagine-3393661444?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=WrRNhDQagoIxpQ9PPYfg8w%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,United States,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
22,"Data Scientist, Jr.",https://www.linkedin.com/jobs/view/data-scientist-jr-at-altamira-technologies-corporation-3398243314?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=%2FRndIDg0a6slWDZfbQj2hw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,"Camp Lejeune, NC",Entry level,Full-time,Engineering and Information Technology,Internet Publishing
23,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-envision-3394414577?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=W%2Fd6I6YcYh2ogLJL96k8DQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,Greater St. Louis,Mid-Senior level,Contract,"Information Technology, Science, and Research",Staffing and Recruiting
24,Data Science Intern,https://www.linkedin.com/jobs/view/data-science-intern-at-cadent-3396580513?refId=iXX95YUC%2BB1k5BucBdjmWg%3D%3D&trackingId=avaPqHC02x9ovGovtJNOpQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,United States,Internship,Other,Engineering and Information Technology,Advertising Services
25,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-hackajob-3389814866?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=W2CbcKjqEfPvvHBbtH7X9w%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,New York City Metropolitan Area,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
26,Data Scientist Internship - ML (US),https://www.linkedin.com/jobs/view/data-scientist-internship-ml-us-at-asurion-3387836871?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=V4f1YdDhr%2FUmSiaQiDROGQ%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,"Nashville, TN",Not Applicable,Full-time,Other,Insurance
27,"Data Scientist, Jr.",https://www.linkedin.com/jobs/view/data-scientist-jr-at-altamira-technologies-corporation-3398243314?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=plXToDWk6J6IeguEXb1uOg%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,"Camp Lejeune, NC",Entry level,Full-time,Engineering and Information Technology,Internet Publishing
